,Classe,Chapeau,Surface Chapeau,Couleur Chapeau,bruises,Odeur,Lamelles,Espacement des lamelles,Taille des lamelles,Couleur des lamelles,Tige,Surface au dessus de anneau,Surface sous anneau,Couleur sur anneau,Couleur sous anneau,Couleur du voile,Nombre anneaux,Type anneau,Coleur des spores,Population,Habitat
1082,Comestible,Cloche,Lisse,Jaune,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
1083,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1084,Comestible,Cloche,Lisse,Blanc,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
1085,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1086,Comestible,Cloche,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
1087,Comestible,Convexe,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
1088,Toxique,Plat,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Herbes
1089,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
1090,Comestible,,Fibreux,Marron,False,Aucune,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Urbains
1091,Comestible,Convexe,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Herbes
1092,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1093,Comestible,Plat,Fibreux,Jaune,True,Anis,Libre,Eloigné,Etroit,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Violet,Plusieurs,Bois
1094,Comestible,Convexe,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1095,Toxique,Plat,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Urbains
1096,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1097,Comestible,Convexe,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1098,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1099,Toxique,Convexe,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
1100,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1101,Comestible,Plat,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1102,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1103,Toxique,Convexe,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
1104,Comestible,Plat,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1105,Comestible,Plat,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1106,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Urbains
1107,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1108,Comestible,Cloche,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
1109,Comestible,Convexe,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1110,Comestible,Plat,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1111,Toxique,Plat,Lisse,Blanc,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
1112,Comestible,Convexe,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
1113,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1114,Comestible,Plat,Ecailleux,Marron,True,Anis,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
1115,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1116,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1117,Comestible,Plat,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1118,Comestible,Plat,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1119,Comestible,Convexe,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1120,Comestible,Convexe,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1121,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1122,Comestible,Convexe,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1123,Comestible,Convexe,Fibreux,Marron,True,Aucune,Libre,Proche,Large,Rose,Fine,Lisse,Lisse,Rose,Rose,Blanc,1,Pendentif,Black,Plusieurs,Bois
1124,Comestible,Plat,Lisse,Jaune,True,Amande,Libre,Eloigné,Etroit,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Violet,Plusieurs,Bois
1125,Comestible,Convexe,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1126,Comestible,Plat,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1127,Comestible,Cloche,Lisse,Jaune,True,Amande,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
1128,Comestible,Convexe,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1129,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1130,Toxique,Plat,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
1131,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1132,Toxique,Convexe,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
1133,Comestible,Plat,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1134,Comestible,Convexe,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
1135,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1136,Comestible,Convexe,Fibreux,Marron,True,Aucune,Libre,Proche,Large,Marron,Fine,Lisse,Lisse,Blanc,Rose,Blanc,1,Pendentif,Marron,Solitaire,Bois
1137,Comestible,Cloche,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
1138,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1139,Comestible,Convexe,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1140,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1141,Comestible,Convexe,Fibreux,Marron,True,Aucune,Libre,Proche,Large,Rose,Fine,Lisse,Lisse,Blanc,Rose,Blanc,1,Pendentif,Marron,Plusieurs,Bois
1142,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1143,Comestible,Convexe,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1144,Comestible,Convexe,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1145,Comestible,Convexe,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1146,Comestible,Plat,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1147,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1148,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1149,Comestible,Plat,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1150,Comestible,Plat,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1151,Comestible,Plat,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Chemins
1152,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Herbes
1153,Comestible,Plat,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1154,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Herbes
1155,Comestible,Cloche,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
1156,Comestible,Convexe,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1157,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1158,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1159,Comestible,Plat,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1160,Comestible,Cloche,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
1161,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1162,Comestible,Convexe,Fibreux,Rouge,True,Aucune,Libre,Proche,Large,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
1163,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Chemins
1164,Comestible,Convexe,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1165,Comestible,Cloche,Lisse,Blanc,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
1166,Toxique,Convexe,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Herbes
1167,Comestible,Convexe,Fibreux,Marron,True,Aucune,Libre,Proche,Large,Rose,Fine,Lisse,Lisse,Rose,Rose,Blanc,1,Pendentif,Black,Solitaire,Bois
1168,Comestible,Plat,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1169,Comestible,Cloche,Lisse,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
1170,Comestible,Convexe,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1171,Comestible,Convexe,Fibreux,Marron,True,Aucune,Libre,Proche,Large,Violet,Fine,Lisse,Lisse,Rose,Gris,Blanc,1,Pendentif,Black,Plusieurs,Bois
1172,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1173,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Proche,Etroit,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Urbains
1174,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Urbains
1175,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Urbains
1176,Comestible,Cloche,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
1177,Comestible,Plat,Fibreux,Marron,False,Aucune,Libre,Proche,Etroit,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
1178,Comestible,Convexe,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1179,Comestible,Plat,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Chemins
1180,Comestible,Convexe,Ecailleux,Marron,True,Anis,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Chemins
1181,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Herbes
1182,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1183,Comestible,Convexe,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
1184,Comestible,Convexe,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
1185,Comestible,Plat,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1186,Comestible,Plat,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1187,Toxique,Plat,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Urbains
1188,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
1189,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1190,Comestible,Convexe,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1191,Comestible,Convexe,Lisse,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
1192,Comestible,Convexe,Fibreux,Rouge,True,Aucune,Libre,Proche,Large,Rose,Fine,Lisse,Lisse,Gris,Rose,Blanc,1,Pendentif,Marron,Plusieurs,Bois
1193,Comestible,Plat,Ecailleux,Marron,True,Anis,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Chemins
1194,Comestible,Cloche,Lisse,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
1195,Toxique,Convexe,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
1196,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1197,Comestible,Cloche,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
1198,Comestible,Convexe,Lisse,Blanc,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
1199,Comestible,Cloche,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
1200,Comestible,Convexe,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
1201,Comestible,Convexe,Lisse,Jaune,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
1202,Comestible,Cloche,Lisse,Blanc,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
1203,Comestible,Plat,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1204,Toxique,Plat,Lisse,Blanc,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
1205,Comestible,Plat,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1206,Comestible,Plat,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1207,Toxique,Plat,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Urbains
1208,Comestible,Plat,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1209,Comestible,Convexe,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1210,Comestible,Convexe,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1211,Comestible,Plat,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1212,Comestible,Plat,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Herbes
1213,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1214,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
1215,Toxique,Plat,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Herbes
1216,Comestible,Convexe,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1217,Comestible,Plat,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
1218,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
1219,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1220,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
1221,Comestible,Convexe,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
1222,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
